"","states","M","median","low","high"
"439","Oklahoma",7,4378.5,4251,4424
"440","Oklahoma",8,4290,4233.5,4447
"441","Oklahoma",9,4219,4159,4350.5
"442","Oklahoma",10,4158,4081.75,4210
"443","Oklahoma",11,3906,3859,4056
"444","Oklahoma",12,4214,4070,4303
"445","Oregon",1,3608,3514.25,3673.5
"446","Oregon",2,3405,3363.75,3455
"447","Oregon",3,3836.5,3676.75,3889.75
"448","Oregon",4,3738,3682.25,3786.75
"449","Oregon",5,3967.5,3930.25,3990.5
"450","Oregon",6,3735.5,3668,3870.25
"451","Oregon",7,3981,3910.75,4022.5
"452","Oregon",8,3886.5,3809.25,3962.25
"453","Oregon",9,3811.5,3673,3883.75
"454","Oregon",10,3674,3596.75,3747.25
"455","Oregon",11,3494,3469.75,3571.25
"456","Oregon",12,3613.5,3577.5,3655.25
"457","Pennsylvania",1,11676,11540.5,11854.5
"458","Pennsylvania",2,11176.5,10869,11649.5
"459","Pennsylvania",3,12342,12122.5,12509.5
"460","Pennsylvania",4,11967.5,11831,12185.25
"461","Pennsylvania",5,12660.5,12501.5,12730.75
"462","Pennsylvania",6,12416.5,12250.75,12484.25
"463","Pennsylvania",7,12921.5,12790,13079.5
"464","Pennsylvania",8,12823,12652.75,13039
"465","Pennsylvania",9,12433,12326,12738
"466","Pennsylvania",10,12165,12099.25,12309.75
"467","Pennsylvania",11,11332,11245,11457.5
"468","Pennsylvania",12,11732.5,11620.75,11865.25
"469","Rhode Island",1,1019,1004.25,1036
"470","Rhode Island",2,949,936,976.25
"471","Rhode Island",3,1087,1067,1107.25
"472","Rhode Island",4,1037.5,996.5,1078.75
"473","Rhode Island",5,1121,1113.25,1128
"474","Rhode Island",6,1052.5,1047.25,1080.75
"475","Rhode Island",7,1127,1109.25,1157.5
"476","Rhode Island",8,1109.5,1069.5,1147.75
"477","Rhode Island",9,1057.5,1050,1108
"478","Rhode Island",10,1077.5,1045.5,1089.25
"479","Rhode Island",11,982,944.75,995.25
"480","Rhode Island",12,997,969.25,1007.75
"481","South Carolina",1,4444.5,4348,4631
"482","South Carolina",2,4170.5,4021,4283
"483","South Carolina",3,4519,4245,4568.25
"484","South Carolina",4,4166.5,4071.75,4265.25
"485","South Carolina",5,4384,4204,4475.5
"486","South Carolina",6,4278,4198.5,4470.25
"487","South Carolina",7,4741.5,4553.25,4845
"488","South Carolina",8,4760.5,4645.5,4875
"489","South Carolina",9,4652,4512,4749
"490","South Carolina",10,4665.5,4420.25,4726.25
"491","South Carolina",11,4387,4193.5,4568.75
"492","South Carolina",12,4676,4526,4743.5
"493","South Dakota",1,809,797.5,822.5
"494","South Dakota",2,813,775.25,831.25
"495","South Dakota",3,892.5,841.75,922.75
"496","South Dakota",4,864.5,838.5,876.75
"497","South Dakota",5,933,905.5,938.75
"498","South Dakota",6,869.5,867.75,888.25
"499","South Dakota",7,919.5,909,943.75
"500","South Dakota",8,919,905.5,929
"501","South Dakota",9,891.5,866.5,916
"502","South Dakota",10,868,828.5,885.75
"503","South Dakota",11,802,783,826.5
"504","South Dakota",12,877,845.75,889
"505","Tennessee",1,6272.5,6090.5,6506.25
"506","Tennessee",2,5923.5,5644,6034.75
"507","Tennessee",3,6444,6104.5,6549.5
"508","Tennessee",4,6115,5963.5,6162
"509","Tennessee",5,6273,6214.75,6543.25
"510","Tennessee",6,6352.5,6160.75,6456.5
"511","Tennessee",7,6760,6633.75,6897.5
"512","Tennessee",8,6777.5,6656,6951.75
"513","Tennessee",9,6645,6437.25,6744.25
"514","Tennessee",10,6445.5,6337.75,6547.75
"515","Tennessee",11,6214.5,5984.75,6316.5
"516","Tennessee",12,6524.5,6401.75,6573.5
"517","Texas",1,28333.5,27506.25,30096.5
"518","Texas",2,25898,24941.5,27270.75
"519","Texas",3,27790,26711.75,29631.75
"520","Texas",4,26648.5,25877.25,27589.75
"521","Texas",5,27789.5,27085.75,29601
"522","Texas",6,28231,26950.75,29548.75
"523","Texas",7,30490.5,29596,31594.75
"524","Texas",8,31180,29913,32994.5
"525","Texas",9,31046,29576.5,31792.25
"526","Texas",10,29806,29249,31954
"527","Texas",11,28522,27123.75,30192
"528","Texas",12,30234,29071.75,30543.75
"529","Utah",1,3530,3343,3621.5
"530","Utah",2,3470,3227.5,3627
"531","Utah",3,3883,3567.75,4138
"532","Utah",4,3847,3561.5,3990
"533","Utah",5,4035.5,3796,4264.25
"534","Utah",6,4005.5,3681.5,4138
"535","Utah",7,4074,3890.75,4138.5
"536","Utah",8,3946.5,3680.5,4181.5
"537","Utah",9,3902,3557.75,3973.5
"538","Utah",10,3720,3644.5,3890.5
"539","Utah",11,3527.5,3330.75,3738.75
"540","Utah",12,3664.5,3568.25,3709.25
"541","Vermont",1,515.5,500,524.5
"542","Vermont",2,473,456.5,487
"543","Vermont",3,569,539,578.25
"544","Vermont",4,551.5,533,574.25
"545","Vermont",5,609.5,583.75,624.75
"546","Vermont",6,580.5,559.5,613
"547","Vermont",7,594,578.75,623.5
"548","Vermont",8,587,574,599.75
"549","Vermont",9,560,529.25,569.5
"550","Vermont",10,532,507.5,552.5
"551","Vermont",11,484.5,480.75,514.25
"552","Vermont",12,510,491,518.75
"553","Virginia",1,7651,7494.5,8069.75
"554","Virginia",2,7176,7080,7483.75
"555","Virginia",3,7970,7836,8207.5
"556","Virginia",4,7696.5,7633,7790
"557","Virginia",5,8050,7954,8320.75
"558","Virginia",6,7908.5,7681.75,8165
"559","Virginia",7,8348,8175,8507
"560","Virginia",8,8335,8169.25,8770.5
"561","Virginia",9,8328,8035,8590.25
"562","Virginia",10,8078,7793,8373.25
"563","Virginia",11,7513.5,7275.75,7925.25
"564","Virginia",12,7942,7741.25,8089.25
"565","Washington",1,6386,6291.25,6454.25
"566","Washington",2,5947.5,5858.25,6065.25
"567","Washington",3,6857,6711.75,6892.5
"568","Washington",4,6620,6500,6648.25
"569","Washington",5,6946,6916.25,7002.25
"570","Washington",6,6787,6630.75,6859
"571","Washington",7,7022,6858.75,7101.25
"572","Washington",8,6954,6852,6988.25
"573","Washington",9,6665,6614.25,6734.5
"574","Washington",10,6560,6511,6570
"575","Washington",11,6080,5971.25,6165.5
"576","Washington",12,6336.5,6285.75,6494
"577","West Virginia",1,1679.5,1665.25,1734.75
"578","West Virginia",2,1567.5,1558,1613.25
"579","West Virginia",3,1744,1709.5,1775.5
"580","West Virginia",4,1672.5,1654.75,1686.5
"581","West Virginia",5,1757.5,1732.75,1792.25
"582","West Virginia",6,1708.5,1680.5,1740.5
"583","West Virginia",7,1856,1822.75,1892.75
"584","West Virginia",8,1869.5,1833.25,1893.25
"585","West Virginia",9,1794.5,1775.75,1827.25
"586","West Virginia",10,1737,1729.25,1767.25
"587","West Virginia",11,1651,1608.5,1661.5
"588","West Virginia",12,1671.5,1621,1726
"589","Wisconsin",1,5308.5,5216.75,5442.5
"590","Wisconsin",2,5152,5054.5,5266.5
"591","Wisconsin",3,5887.5,5797,5924.25
"592","Wisconsin",4,5672.5,5601.5,5742.25
"593","Wisconsin",5,5937,5880.5,6082.5
"594","Wisconsin",6,5826,5727.75,5918.75
"595","Wisconsin",7,6066,5994.75,6095.5
"596","Wisconsin",8,5921.5,5808.5,6074.75
"597","Wisconsin",9,5792.5,5677.5,5857
"598","Wisconsin",10,5622,5575.25,5754.75
"599","Wisconsin",11,5233,5189.75,5290
"600","Wisconsin",12,5542,5415.5,5599.5
"601","Wyoming",1,504.5,490.75,508.75
"602","Wyoming",2,469,457.75,481.75
"603","Wyoming",3,547.5,541.5,565
"604","Wyoming",4,509,498.5,527
"605","Wyoming",5,542,531.25,566.75
"606","Wyoming",6,553.5,537.5,563.5
"607","Wyoming",7,559,541.5,571.5
"608","Wyoming",8,548.5,509.5,562.5
"609","Wyoming",9,529.5,498,536.5
